0.184	2.8781	0	0	0.184	2.8781	-0.0008	2.8	-0.0157	0.9999
0.099303	3.60617	-0.105858	0.909982	0.0993	3.6062	-0.1194	3.589	-0.2639	0.9646
-0.56426	4.26999	-1.04571	0.8058	-0.5687	4.2695	-0.4305	4.3238	-0.4955	0.8686
-0.582494	4.92605	0.494253	0.827288	-0.5718	4.9262	-0.9146	4.9581	-0.6959	0.7181
-1.32415	5.81632	-1.7135	1.27082	-1.3405	5.8196	-1.5412	5.452	-0.8526	0.5225
-2.43453	5.61638	-1.20404	-1.10916	-2.4307	5.5985	-2.271	5.7747	-0.9558	0.294
-2.99042	6.04633	-0.405684	1.47261	-2.9844	6.0658	-3.0581	5.9057	-0.9989	0.0471
-3.55012	5.93311	-0.866785	-1.05946	-3.5536	5.914	-3.853	5.8368	-0.9792	-0.2028
-4.58652	5.49228	-1.53939	-0.261811	-4.5916	5.4983	-4.6058	5.5725	-0.898	-0.4399
-5.67117	5.20426	-1.25138	-0.415892	-5.669	5.2031	-5.2693	5.1292	-0.7604	-0.6494
-5.889	4.67836	0.284757	-0.794767	-5.8774	4.6755	-5.8016	4.5348	-0.575	-0.8181
-6.12671	3.67258	-0.628198	-1.52034	-6.1336	3.6671	-6.1694	3.8267	-0.3535	-0.9354
-6.30372	3.10963	0.0102519	-0.239072	-6.2989	3.1193	-6.3496	3.0494	-0.1097	-0.994
-6.2482	2.33602	0.10305	-1.38115	-6.2475	2.3274	-6.3308	2.2518	0.1409	-0.99
-5.8618	1.48445	0.699166	-0.884294	-5.8573	1.4882	-6.1142	1.4838	0.3827	-0.9239
-5.95671	0.695605	-0.583918	-1.04395	-5.9664	0.6944	-5.7135	0.7939	0.6004	-0.7997
-5.14306	0.235941	1.92791	-0.307543	-5.1241	0.2415	-5.1537	0.2252	0.7804	-0.6253
-4.28231	-0.0972102	0.591231	-0.478393	-4.2924	-0.0985	-4.4701	-0.1863	0.9114	-0.4115
-3.63685	-0.212952	0.929475	0.0451825	-3.6343	-0.209	-3.7057	-0.4149	0.9851	-0.172
-2.82974	-0.518245	1.05407	-0.624434	-2.8288	-0.5233	-2.9084	-0.4463	0.9969	0.0784
-1.99064	-0.358954	1.04592	0.667654	-1.9907	-0.3492	-2.1284	-0.2783	0.9461	0.3239
-1.27077	0.348139	0.816723	1.00688	-1.2725	0.3507	-1.4146	0.0783	0.8358	0.549
-0.849366	0.737856	0.361784	0.191456	-0.8528	0.7317	-0.8119	0.6013	0.673	0.7396
-0.333256	1.22978	0.806345	0.855827	-0.3299	1.2348	-0.3583	1.2577	0.468	0.8837
-0.0249147	2.20007	0.145954	1.41598	-0.0299	2.2043	-0.0821	2.0062	0.2335	0.9724
-0.109026	2.85951	-0.247993	0.487667	-0.112	2.8525	-0.0008	2.8	-0.0157	0.9999
0.11948	3.46767	0.589228	0.91526	0.1258	3.4709	0.093	3.5924	0.2335	0.9724
0.32543	4.38033	0.0686723	1.26915	0.3215	4.383	0.3809	4.3365	0.468	0.8837
0.607537	5.08796	0.514188	0.665715	0.6109	5.0834	0.8448	4.9857	0.673	0.7396
1.54905	5.50895	1.55392	0.446898	1.5569	5.5073	1.4556	5.4991	0.8358	0.549
2.16351	5.58664	0.320976	-0.101888	2.1542	5.5825	2.1749	5.8445	0.9461	0.3239
2.92848	6.18769	1.31761	1.23673	2.936	6.1978	2.9574	6.0002	0.9969	0.0784
3.76975	6.05925	0.900245	-0.955513	3.7666	6.0427	3.7541	5.9563	0.9851	-0.172
4.66816	5.82131	1.24975	0.0769742	4.6708	5.8291	4.5149	5.7157	0.9114	-0.4115
4.98028	5.31895	-0.098905	-1.029	4.9701	5.3106	5.1919	5.2935	0.7804	-0.6253
5.68007	4.88435	1.42867	-0.266899	5.6916	4.8901	5.7427	4.7161	0.6004	-0.7997
6.25471	3.93687	0.314163	-1.70632	6.2463	3.926	6.1326	4.02	0.3827	-0.9239
6.43889	3.31076	0.182471	-0.257123	6.4379	3.3217	6.337	3.2487	0.1409	-0.99
6.60116	2.43936	0.214414	-1.56268	6.6014	2.4295	6.3433	2.4508	-0.1097	-0.994
6.18007	1.80311	-0.947802	-0.358724	6.1713	1.8122	6.151	1.6765	-0.3535	-0.9354
5.45954	1.16411	-0.873847	-1.04909	5.4601	1.1589	5.7721	0.9743	-0.575	-0.8181
5.18344	0.355348	-0.0443274	-0.989256	5.1897	0.3558	5.2304	0.3883	-0.7604	-0.6494
4.69008	0.0876466	-0.942337	0.0378104	4.6833	0.0954	4.5601	-0.0445	-0.898	-0.4399
4.10372	-0.194672	-0.613821	-0.575185	4.1062	-0.1993	3.8032	-0.297	-0.9792	-0.2028
3.18523	-0.04759	-1.45209	0.615692	3.1789	-0.0386	3.0073	-0.3533	-0.9989	0.0471
2.3884	-0.226657	-0.736575	-0.701464	2.3938	-0.2366	2.2224	-0.21	-0.9558	0.294
1.37163	0.0205323	-1.57499	0.883861	1.3653	0.0325	1.4978	0.1241	-0.8526	0.5225
0.885345	0.814809	-0.0576238	1.05485	0.8968	0.8161	0.879	0.6278	-0.6959	0.7181
0.488394	1.40456	-0.745701	0.556466	0.4832	1.4008	0.405	1.2696	-0.4955	0.8686
0.114996	2.03831	-0.308043	0.926288	0.1183	2.0411	0.1054	2.0092	-0.2639	0.9646
0.140179	2.85567	0.224642	1.07599	0.1442	2.8568	-0.0008	2.8	-0.0157	0.9999
